time,value,group,percentage
01/01/2013,8039.5,D,0.00292421
01/01/2013,36975.4,E,0.013449076
01/01/2013,1413.1,F,0.000513987
01/02/2013,2113139.3,A,0.766221226
01/02/2013,223900.8,B,0.081186103
01/02/2013,380544.8,C,0.137984989
01/02/2013,8039.6,D,0.002915147
01/02/2013,32246.4,E,0.011692498
01/02/2013,2120.7,F,0.000768963
01/03/2013,2118774.5,A,0.7661159
01/03/2013,227672.7,B,0.082322907
01/03/2013,381131.1,C,0.137811077
01/03/2013,8049.6,D,0.00291061
01/03/2013,29977.9,E,0.010839542
01/03/2013,2895.4,F,0.001046932
01/04/2013,2136986.2,A,0.768580555
01/04/2013,230690.3,B,0.08296922
01/04/2013,378598.8,C,0.136165444
01/04/2013,8043.5,D,0.002892895
01/04/2013,26113.5,E,0.009391885
01/04/2013,2633.6,F,0.000947191
01/05/2013,2165561.3,A,0.768811737
01/05/2013,235432.6,B,0.083582647
01/05/2013,379035.2,C,0.134564055
01/05/2013,6038.8,D,0.002143879
01/05/2013,30696.1,E,0.010897647
01/05/2013,3144.8,F,0.001116458
01/06/2013,2174878.1,A,0.766419628
01/06/2013,242247.7,B,0.085367264
01/06/2013,382147,C,0.1346673
01/06/2013,4036.1,D,0.001422308
01/06/2013,34403,E,0.0121235
01/06/2013,3570.9,F,0.001258373
01/07/2013,2197484.5,A,0.770506433
01/07/2013,241601,B,0.084712827
01/07/2013,378937.7,C,0.132867347
01/07/2013,4037.6,D,0.001415708
01/07/2013,29939.3,E,0.01049765
01/07/2013,4312,F,0.001511921
01/08/2013,2230163.8,A,0.769017943
01/08/2013,243400.2,B,0.083930661
01/08/2013,383627.9,C,0.132284785
01/08/2013,4004.9,D,0.001380993
01/08/2013,38818.5,E,0.013385619
01/08/2013,2656.1,F,0.000915892
01/09/2013,2239187.9,A,0.771324506
01/09/2013,246338.7,B,0.084855351
01/09/2013,382639.8,C,0.131806471
